NPD_ID,Noise Metric,Op Mode,Power Setting,L_200ft,L_400ft,L_630ft,L_1000ft,L_2000ft,L_4000ft,L_6300ft,L_10000ft,L_16000ft,L_25000ft
A330-743L,LAmax,D,56000,107.4,101.6,97.5,92.9,85.2,76.6,70.2,63.2,55.4,47.4
A330-743L,SEL,A,4000,96.0,91.4,88.2,85.0,79.7,73.6,68.9,63.7,58.0,52.3
A330-743L,SEL,A,10000,98.1,93.4,90.1,86.7,81.3,75.1,70.4,65.1,59.1,53.1
A330-743L,SEL,A,14000,98.8,93.9,90.5,87.2,81.8,75.6,71.0,65.7,59.8,53.8
A330-743L,SEL,A,20000,99.7,94.6,91.4,88.1,82.6,76.4,71.8,66.6,60.7,54.7
A330-743L,SEL,D,28000,100.7,96.0,92.8,89.5,83.7,77.5,72.8,67.5,61.4,55.1
A330-743L,SEL,D,32000,102.6,96.8,93.9,90.7,85.3,79.2,74.7,69.5,63.4,57.1
A330-743L,SEL,D,40000,105.0,99.8,97.0,93.8,88.5,82.4,77.8,72.7,66.7,60.5
A330-743L,SEL,D,50000,108.3,103.2,100.5,97.4,92.3,86.4,81.9,76.8,70.9,64.7
A330-743L,SEL,D,56000,110.6,106.2,103.4,100.4,95.5,89.7,85.3,80.3,74.4,68.2
A330-743L,PNLTM,A,4000,104.3,97.5,92.4,86.9,78.8,69.0,62.2,54.6,46.0,37.1
A330-743L,PNLTM,A,10000,106.8,99.8,94.6,89.3,80.6,70.9,63.7,56.0,47.4,38.3
A330-743L,PNLTM,A,14000,107.1,100.3,95.3,90.4,81.4,71.1,64.3,56.7,48.2,39.1
A330-743L,PNLTM,A,20000,108.2,101.6,96.5,90.7,82.3,72.3,65.7,58.3,49.4,40.7
A330-743L,PNLTM,D,28000,110.7,103.8,98.7,93.8,84.3,74.6,67.6,59.6,51.1,42.4
A330-743L,PNLTM,D,32000,111.9,105.0,100.0,94.4,85.6,75.9,69.1,61.5,53.0,44.8
A330-743L,PNLTM,D,40000,115.5,108.0,103.3,98.1,89.5,79.2,72.4,64.9,56.5,48.7
A330-743L,PNLTM,D,50000,118.2,111.8,107.2,101.7,93.3,83.5,76.7,69.3,61.1,53.7
A330-743L,PNLTM,D,56000,121.0,114.7,110.1,104.8,96.7,87.0,80.3,72.9,64.9,57.5
A350-1041,EPNL,A,3000,98.4,94.3,91.3,87.9,81.4,74.5,69.0,62.5,55.2,46.7
A350-1041,EPNL,A,7000,101.2,96.7,93.1,89.2,82.6,74.8,69.4,62.8,55.4,46.8
A350-1041,EPNL,A,15000,101.6,96.9,93.5,89.6,83.1,75.3,69.8,63.2,55.8,47.3
A350-1041,EPNL,A,23000,102.8,98.0,94.4,90.4,83.9,76.2,71.0,64.4,57.0,48.4
A350-1041,EPNL,D,21000,100.3,95.6,91.5,87.1,80.2,71.9,66.0,58.8,50.2,39.4
A350-1041,EPNL,D,40000,102.8,98.4,94.9,90.6,84.0,76.0,70.7,64.5,56.8,47.4
A350-1041,EPNL,D,50000,105.9,101.3,98.2,94.3,87.9,80.3,75.2,69.3,62.3,53.8
A350-1041,EPNL,D,60000,107.6,103.6,100.4,96.8,91.2,83.8,78.9,73.3,66.7,58.7
A350-1041,EPNL,D,80000,112.4,108.3,104.9,101.1,95.7,88.8,84.0,78.5,72.0,64.4
A350-1041,LAmax,A,3000,91.1,85.4,81.1,76.5,68.9,60.3,54.2,47.7,40.5,33.4
A350-1041,LAmax,A,7000,93.1,86.9,82.4,77.6,69.6,60.8,54.6,47.9,40.7,33.5
A350-1041,LAmax,A,15000,93.3,87.0,82.5,77.7,69.8,61.1,55.0,48.3,41.0,33.7
A350-1041,LAmax,A,23000,94.3,87.9,83.3,78.5,70.7,62.2,56.0,49.2,41.8,34.3
A350-1041,LAmax,D,21000,91.1,84.8,79.7,74.2,66.4,57.9,51.8,44.9,36.9,28.8
A350-1041,LAmax,D,40000,94.8,88.7,84.3,79.4,71.4,62.7,56.3,49.3,41.3,33.3
A350-1041,LAmax,D,50000,98.0,92.0,87.6,82.7,74.8,66.1,59.9,53.1,45.4,37.5
A350-1041,LAmax,D,60000,100.2,94.4,90.0,85.3,77.5,68.9,62.8,56.1,48.7,40.9
A350-1041,LAmax,D,80000,105.3,99.8,95.4,90.7,83.0,74.5,68.4,61.5,53.9,45.9
A350-1041,SEL,A,3000,95.4,91.7,88.9,85.8,80.6,74.4,69.9,64.7,59.1,53.5
A350-1041,SEL,A,7000,97.6,93.5,90.5,87.0,81.4,74.9,70.2,65.0,59.3,53.6
A350-1041,SEL,A,15000,97.9,93.9,90.8,87.4,81.8,75.4,70.6,65.4,59.6,53.8
A350-1041,SEL,A,23000,98.8,94.6,91.5,88.2,82.6,76.3,71.6,66.4,60.5,54.5
A350-1041,SEL,D,21000,95.8,91.5,88.2,84.5,78.6,72.1,67.3,61.7,55.1,48.2
A350-1041,SEL,D,40000,98.3,94.2,91.0,87.6,82.2,76.0,71.5,66.2,60.3,54.1
A350-1041,SEL,D,50000,101.2,97.3,94.2,91.0,85.7,79.7,75.3,70.3,64.4,58.2
A350-1041,SEL,D,60000,103.4,99.6,96.6,93.6,88.5,82.7,78.5,73.6,67.9,61.8
A350-1041,SEL,D,80000,108.4,104.7,101.8,98.8,93.7,87.8,83.4,78.4,72.6,66.3
A350-1041,PNLTM,A,3000,104.2,98.7,94.5,89.3,80.1,70.7,63.6,56.4,48.2,38.2
A350-1041,PNLTM,A,7000,106.7,100.1,95.4,90.0,81.5,71.3,64.7,56.6,48.3,38.3
A350-1041,PNLTM,A,15000,106.8,100.2,95.4,90.2,81.6,71.6,64.9,57.0,48.8,38.8
A350-1041,PNLTM,A,23000,108.3,101.6,96.5,90.7,82.0,72.4,65.8,57.9,49.7,39.9
A350-1041,PNLTM,D,21000,106.0,99.8,94.7,88.3,77.9,67.7,60.7,52.7,43.4,32.5
A350-1041,PNLTM,D,40000,109.2,103.3,98.4,92.9,83.5,72.8,65.9,57.9,48.8,38.1
A350-1041,PNLTM,D,50000,112.2,105.8,101.7,96.5,87.8,77.1,70.2,62.5,54.1,44.5
A350-1041,PNLTM,D,60000,114.3,109.1,104.2,99.0,90.4,80.1,73.7,66.5,58.3,49.0
A350-1041,PNLTM,D,80000,119.1,113.4,108.4,102.9,94.9,85.2,78.8,71.7,63.6,54.5
ERJ190-300,SEL,A,3797,92.0,88.0,85.0,81.8,76.6,70.7,66.4,61.3,55.4,49.0
ERJ190-300,SEL,A,3219,91.3,87.3,84.4,81.3,76.1,70.3,66.0,61.0,55.1,48.7
ERJ190-300,SEL,A,2818,90.9,86.9,84.0,80.9,75.8,70.1,65.7,60.7,54.9,48.6
ERJ190-300,SEL,A,2262,90.3,86.3,83.5,80.4,75.4,69.7,65.4,60.4,54.7,48.3
ERJ190-300,SEL,A,1884,89.9,85.8,83.1,80.1,75.1,69.4,65.2,60.2,54.5,48.1
ERJ190-300,PNLTM,A,3797,103.9,96.9,91.7,86.1,77.2,67.5,59.2,51.2,41.4,29.8
ERJ190-300,PNLTM,A,3219,103.2,96.1,91.0,85.5,76.7,67.2,59.0,51.0,41.2,29.5
ERJ190-300,PNLTM,A,2818,102.7,95.5,90.4,85.0,76.4,66.9,58.8,50.8,41.1,29.3
ERJ190-300,PNLTM,A,2262,102.0,94.8,89.7,84.5,75.9,66.6,58.6,50.6,40.8,29.0
ERJ190-300,PNLTM,A,1884,101.6,94.3,89.3,84.1,75.6,66.4,58.5,50.5,40.7,28.9
ERJ190-300,LAmax,A,3797,89.3,82.5,77.9,72.9,65.1,56.6,50.6,43.8,36.1,28.0
ERJ190-300,LAmax,A,3219,88.7,82.0,77.3,72.4,64.7,56.2,50.2,43.4,35.8,27.8
ERJ190-300,LAmax,A,2818,88.3,81.6,77.0,72.1,64.3,56.0,49.9,43.2,35.6,27.6
ERJ190-300,LAmax,A,2262,87.8,81.0,76.4,71.6,63.9,55.6,49.6,42.9,35.3,27.3
ERJ190-300,LAmax,A,1884,87.4,80.6,76.1,71.2,63.6,55.3,49.3,42.7,35.1,27.2
ERJ190-300,EPNL,A,3797,97.0,92.3,88.7,84.4,78.1,71.0,64.8,58.3,50.1,39.2
ERJ190-300,EPNL,A,3219,96.4,91.7,88.1,83.9,77.7,70.6,64.6,58.1,49.9,38.9
ERJ190-300,EPNL,A,2818,96.0,91.3,87.7,83.6,77.5,70.4,64.4,58.0,49.7,38.6
ERJ190-300,EPNL,A,2262,95.4,90.7,87.2,83.2,77.1,70.0,64.2,57.7,49.5,38.3
ERJ190-300,EPNL,A,1884,95.0,90.3,86.8,82.9,76.9,69.8,64.0,57.6,49.4,38.1
ERJ190-300,LAmax,D,19544,101.4,94.8,89.9,84.6,76.0,65.3,58.8,51.6,43.5,35.1
ERJ190-300,LAmax,D,14743,97.3,90.0,85.3,80.1,71.8,62.7,56.2,49.0,40.9,32.5
ERJ190-300,LAmax,D,13037,95.8,88.3,83.6,78.5,70.3,61.7,55.3,48.1,40.0,31.6
ERJ190-300,LAmax,D,10656,93.8,86.0,81.3,76.3,68.2,60.4,54.0,46.8,38.7,30.3
ERJ190-300,LAmax,D,8254,91.8,83.6,79.0,74.1,66.1,59.1,52.7,45.6,37.4,29.0
ERJ190-300,SEL,D,19544,100.3,96.3,93.3,90.0,84.4,76.8,72.3,67.2,61.4,55.0
ERJ190-300,SEL,D,14743,97.1,92.8,89.7,86.3,80.8,74.5,70.0,64.8,58.8,52.4
ERJ190-300,SEL,D,13037,95.9,91.5,88.4,85.0,79.5,73.7,69.1,63.9,57.9,51.4
ERJ190-300,SEL,D,10656,94.3,89.8,86.6,83.2,77.7,72.5,68.0,62.7,56.6,50.1
ERJ190-300,SEL,D,8254,92.6,88.0,84.8,81.4,75.9,71.4,66.8,61.5,55.3,48.8
ERJ190-300,PNLTM,D,19544,118.6,111.5,106.3,100.1,90.3,77.2,70.1,62.0,52.2,41.1
ERJ190-300,PNLTM,D,14743,113.9,106.3,101.1,95.0,85.3,73.9,66.8,58.6,48.7,37.1
ERJ190-300,PNLTM,D,13037,112.2,104.4,99.2,93.2,83.6,72.7,65.6,57.4,47.4,35.7
ERJ190-300,PNLTM,D,10656,109.9,101.8,96.6,90.7,81.1,71.1,64.0,55.8,45.7,33.7
ERJ190-300,PNLTM,D,8254,107.6,99.2,94.0,88.2,78.6,69.4,62.4,54.1,43.9,31.6
ERJ190-300,EPNL,D,19544,107.5,103.1,99.7,95.7,88.4,78.7,73.2,66.9,59.4,50.2
ERJ190-300,EPNL,D,14743,103.5,98.8,95.1,90.9,83.9,75.3,69.9,63.5,55.7,45.9
ERJ190-300,EPNL,D,13037,102.1,97.3,93.5,89.2,82.2,74.1,68.7,62.4,54.4,44.3
ERJ190-300,EPNL,D,10656,100.1,95.1,91.2,86.8,80.0,72.4,67.1,60.7,52.6,42.2
ERJ190-300,EPNL,D,8254,98.1,92.9,88.9,84.4,77.7,70.7,65.4,59.0,50.7,40.0
ERJ190-400,SEL,A,3797,92.0,88.0,85.0,81.8,76.6,70.7,66.4,61.3,55.4,49.0
ERJ190-400,SEL,A,3219,91.3,87.3,84.4,81.3,76.1,70.3,66.0,61.0,55.1,48.7
ERJ190-400,SEL,A,2818,90.9,86.9,84.0,80.9,75.8,70.1,65.7,60.7,54.9,48.6
ERJ190-400,SEL,A,2262,90.3,86.3,83.5,80.4,75.4,69.7,65.4,60.4,54.7,48.3
ERJ190-400,SEL,A,1884,89.9,85.8,83.1,80.1,75.1,69.4,65.2,60.2,54.5,48.1
ERJ190-400,PNLTM,A,3797,103.9,96.9,91.7,86.1,77.2,67.5,59.2,51.2,41.4,29.8
ERJ190-400,PNLTM,A,3219,103.2,96.1,91.0,85.5,76.7,67.2,59.0,51.0,41.2,29.5
ERJ190-400,PNLTM,A,2818,102.7,95.5,90.4,85.0,76.4,66.9,58.8,50.8,41.1,29.3
ERJ190-400,PNLTM,A,2262,102.0,94.8,89.7,84.5,75.9,66.6,58.6,50.6,40.8,29.0
ERJ190-400,PNLTM,A,1884,101.6,94.3,89.3,84.1,75.6,66.4,58.5,50.5,40.7,28.9
ERJ190-400,LAmax,A,3797,89.3,82.5,77.9,72.9,65.1,56.6,50.6,43.8,36.1,28.0
ERJ190-400,LAmax,A,3219,88.7,82.0,77.3,72.4,64.7,56.2,50.2,43.4,35.8,27.8
ERJ190-400,LAmax,A,2818,88.3,81.6,77.0,72.1,64.3,56.0,49.9,43.2,35.6,27.6
ERJ190-400,LAmax,A,2262,87.8,81.0,76.4,71.6,63.9,55.6,49.6,42.9,35.3,27.3
ERJ190-400,LAmax,A,1884,87.4,80.6,76.1,71.2,63.6,55.3,49.3,42.7,35.1,27.2
ERJ190-400,EPNL,A,3797,97.0,92.3,88.7,84.4,78.1,71.0,64.8,58.3,50.1,39.2
ERJ190-400,EPNL,A,3219,96.4,91.7,88.1,83.9,77.7,70.6,64.6,58.1,49.9,38.9
ERJ190-400,EPNL,A,2818,96.0,91.3,87.7,83.6,77.5,70.4,64.4,58.0,49.7,38.6
ERJ190-400,EPNL,A,2262,95.4,90.7,87.2,83.2,77.1,70.0,64.2,57.7,49.5,38.3
ERJ190-400,EPNL,A,1884,95.0,90.3,86.8,82.9,76.9,69.8,64.0,57.6,49.4,38.1
ERJ190-400,LAmax,D,19544,101.4,94.8,89.9,84.6,76.0,65.3,58.8,51.6,43.5,35.1
ERJ190-400,LAmax,D,14743,97.3,90.0,85.3,80.1,71.8,62.7,56.2,49.0,40.9,32.5
ERJ190-400,LAmax,D,13037,95.8,88.3,83.6,78.5,70.3,61.7,55.3,48.1,40.0,31.6
ERJ190-400,LAmax,D,10656,93.8,86.0,81.3,76.3,68.2,60.4,54.0,46.8,38.7,30.3
ERJ190-400,LAmax,D,8254,91.8,83.6,79.0,74.1,66.1,59.1,52.7,45.6,37.4,29.0
ERJ190-400,SEL,D,19544,100.3,96.3,93.3,90.0,84.4,76.8,72.3,67.2,61.4,55.0
ERJ190-400,SEL,D,14743,97.1,92.8,89.7,86.3,80.8,74.5,70.0,64.8,58.8,52.4
ERJ190-400,SEL,D,13037,95.9,91.5,88.4,85.0,79.5,73.7,69.1,63.9,57.9,51.4
ERJ190-400,SEL,D,10656,94.3,89.8,86.6,83.2,77.7,72.5,68.0,62.7,56.6,50.1
ERJ190-400,SEL,D,8254,92.6,88.0,84.8,81.4,75.9,71.4,66.8,61.5,55.3,48.8
ERJ190-400,PNLTM,D,19544,118.6,111.5,106.3,100.1,90.3,77.2,70.1,62.0,52.2,41.1
ERJ190-400,PNLTM,D,14743,113.9,106.3,101.1,95.0,85.3,73.9,66.8,58.6,48.7,37.1
ERJ190-400,PNLTM,D,13037,112.2,104.4,99.2,93.2,83.6,72.7,65.6,57.4,47.4,35.7
ERJ190-400,PNLTM,D,10656,109.9,101.8,96.6,90.7,81.1,71.1,64.0,55.8,45.7,33.7
ERJ190-400,PNLTM,D,8254,107.6,99.2,94.0,88.2,78.6,69.4,62.4,54.1,43.9,31.6
ERJ190-400,EPNL,D,19544,107.5,103.1,99.7,95.7,88.4,78.7,73.2,66.9,59.4,50.2
ERJ190-400,EPNL,D,14743,103.5,98.8,95.1,90.9,83.9,75.3,69.9,63.5,55.7,45.9
ERJ190-400,EPNL,D,13037,102.1,97.3,93.5,89.2,82.2,74.1,68.7,62.4,54.4,44.3
ERJ190-400,EPNL,D,10656,100.1,95.1,91.2,86.8,80.0,72.4,67.1,60.7,52.6,42.2
ERJ190-400,EPNL,D,8254,98.1,92.9,88.9,84.4,77.7,70.7,65.4,59.0,50.7,40.0
FAL900EX,EPNL,A         ,500,94.3,89.8,86.4,82.6,76.0,67.6,61.7,55.9,49.0,36.2
FAL900EX,EPNL,A         ,1000,95.3,90.7,87.3,83.2,75.9,67.4,62.0,56.2,49.4,36.8
FAL900EX,EPNL,A         ,1500,96.5,92.0,88.6,84.6,76.7,68.5,63.4,57.7,51.0,38.7
FAL900EX,EPNL,A         ,2000,98.0,93.7,90.4,86.6,78.5,70.9,65.8,60.4,53.8,41.8
FAL900EX,EPNL,D         ,2500,98.3,94.0,90.7,86.7,79.9,71.4,66.3,61.2,55.0,45.1
FAL900EX,EPNL,D         ,3000,101.7,97.5,94.1,90.2,83.1,74.8,69.6,64.5,58.9,49.8
FAL900EX,EPNL,D         ,3500,104.5,100.3,96.9,92.9,85.8,77.6,72.4,67.3,61.9,53.5
FAL900EX,EPNL,D         ,4000,106.7,102.4,99.0,95.1,88.0,79.7,74.6,69.5,64.3,56.1
FAL900EX,EPNL,D         ,4500,108.1,103.8,100.4,96.5,89.7,81.2,76.3,71.2,65.9,57.6
FAL900EX,EPNL,D         ,4700,108.5,104.2,100.8,96.9,90.2,81.6,76.8,71.8,66.3,57.9
FAL900EX,LAmax,A         ,500,86.9,80.0,75.4,70.4,62.3,53.0,46.1,38.6,30.5,22.1
FAL900EX,LAmax,A         ,1000,88.3,81.3,76.5,71.4,63.1,53.8,46.9,39.4,31.1,22.6
FAL900EX,LAmax,A         ,1500,90.3,83.2,78.3,73.0,64.7,55.4,48.5,40.9,32.5,23.8
FAL900EX,LAmax,A         ,2000,92.8,85.6,80.7,75.4,67.1,57.8,50.9,43.2,34.7,25.9
FAL900EX,LAmax,D         ,2500,94.2,87.2,82.3,77.1,68.7,59.7,53.1,45.6,37.3,28.7
FAL900EX,LAmax,D         ,3000,96.8,90.0,85.2,80.1,71.7,62.7,55.8,48.2,39.6,30.9
FAL900EX,LAmax,D         ,3500,99.9,93.0,88.3,83.1,74.7,65.3,58.3,50.5,41.8,32.9
FAL900EX,LAmax,D         ,4000,103.3,96.4,91.5,86.3,77.5,67.7,60.6,52.6,43.8,34.9
FAL900EX,LAmax,D         ,4500,107.2,100.1,95.1,89.5,80.2,69.9,62.5,54.5,45.7,36.7
FAL900EX,LAmax,D         ,4700,108.8,101.6,96.5,90.8,81.3,70.7,63.3,55.2,46.4,37.4
FAL900EX,PNLTM,A         ,500,101.0,93.7,88.7,83.2,74.3,63.7,56.3,49.0,40.6,26.4
FAL900EX,PNLTM,A         ,1000,102.9,95.6,90.3,84.4,74.8,64.1,57.2,49.8,41.5,27.5
FAL900EX,PNLTM,A         ,1500,104.7,97.5,92.2,86.2,76.1,65.6,59.0,51.8,43.6,29.8
FAL900EX,PNLTM,A         ,2000,106.4,99.4,94.3,88.5,78.2,68.3,61.7,54.8,46.7,33.3
FAL900EX,PNLTM,D         ,2500,110.5,103.2,98.0,91.9,81.0,70.3,63.7,57.1,49.4,38.0
FAL900EX,PNLTM,D         ,3000,112.9,105.5,100.2,94.1,83.6,73.0,66.4,59.8,52.6,42.1
FAL900EX,PNLTM,D         ,3500,115.3,107.9,102.5,96.5,86.1,75.7,69.0,62.4,55.5,45.6
FAL900EX,PNLTM,D         ,4000,117.8,110.4,105.0,99.0,88.7,78.2,71.6,65.0,58.3,48.6
FAL900EX,PNLTM,D         ,4500,120.4,113.0,107.7,101.7,91.3,80.6,74.2,67.6,60.8,51.0
FAL900EX,PNLTM,D         ,4700,121.4,114.1,108.8,102.8,92.4,81.5,75.2,68.7,61.7,51.8
FAL900EX,SEL,A         ,500,89.8,85.8,82.9,79.8,74.0,66.9,61.5,55.4,48.9,41.9
FAL900EX,SEL,A         ,1000,90.7,86.6,83.7,80.4,74.4,67.4,62.0,55.9,49.2,42.1
FAL900EX,SEL,A         ,1500,92.1,88.0,85.0,81.7,75.7,68.6,63.2,57.1,50.3,43.0
FAL900EX,SEL,A         ,2000,94.0,89.9,87.0,83.7,77.7,70.6,65.2,59.0,52.0,44.6
FAL900EX,SEL,D         ,2500,93.8,89.9,87.1,84.0,78.6,71.9,66.7,60.8,54.0,46.9
FAL900EX,SEL,D         ,3000,96.8,92.9,90.1,86.9,81.5,74.6,69.3,63.1,56.1,48.8
FAL900EX,SEL,D         ,3500,99.6,95.7,92.9,89.7,84.1,77.0,71.5,65.2,58.0,50.6
FAL900EX,SEL,D         ,4000,102.3,98.4,95.5,92.2,86.6,79.1,73.4,67.0,59.7,52.2
FAL900EX,SEL,D         ,4500,104.8,100.9,98.0,94.7,88.9,80.9,75.0,68.4,61.2,53.6
FAL900EX,SEL,D         ,4700,105.8,101.8,98.9,95.6,89.8,81.5,75.5,69.0,61.7,54.2
