NPD_ID,Noise Metric,Op Mode,Power Setting,L_200ft,L_400ft,L_630ft,L_1000ft,L_2000ft,L_4000ft,L_6300ft,L_10000ft,L_16000ft,L_25000ft
7673ER,PNLTM,A,9000,107.5,100.0,95.0,89.5,81.1,71.9,65.0,57.4,49.6,42.3
7673ER,PNLTM,A,10500,108.3,100.8,95.8,90.2,81.6,72.2,65.2,57.6,49.9,42.5
7673ER,PNLTM,A,12000,109.6,102.0,96.9,91.1,82.2,72.5,65.5,57.9,50.1,42.7
7673ER,PNLTM,A,13500,111.1,103.4,98.2,92.2,82.9,72.9,65.8,58.2,50.4,43.0
7673ER,PNLTM,D,26800,114.5,107.3,102.0,96.2,86.8,77.2,70.5,63.2,55.8,48.9
7673ER,PNLTM,D,33600,115.8,108.6,103.4,97.8,89.3,80.2,73.8,66.8,59.7,53.0
7673ER,PNLTM,D,40400,117.3,110.2,105.1,99.8,91.8,83.1,76.8,70.0,63.1,56.6
7673ER,PNLTM,D,47200,119.2,112.3,107.4,102.4,94.7,86.3,80.3,73.5,66.8,60.4
7673ER,PNLTM,D,54000,122.6,115.9,111.3,106.7,99.3,91.0,85.2,78.6,71.9,65.6
7673ER,SEL,A,9000,98.1,93.7,90.7,87.5,82.3,76.3,71.7,66.6,61.4,56.5
7673ER,SEL,A,10500,98.8,94.3,91.2,88.0,82.6,76.6,71.9,66.8,61.6,56.7
7673ER,SEL,A,12000,99.7,95.1,92.0,88.6,83.1,76.9,72.2,67.1,61.9,56.9
7673ER,SEL,A,13500,100.7,96.1,92.9,89.3,83.6,77.2,72.5,67.4,62.2,57.2
7673ER,SEL,D,26800,102.5,98.1,94.9,91.2,85.1,78.9,74.7,70.0,65.3,60.9
7673ER,SEL,D,33600,102.8,98.8,95.8,92.5,87.1,81.4,77.4,72.9,68.4,64.2
7673ER,SEL,D,40400,104.0,100.1,97.3,94.3,89.3,83.9,80.0,75.7,71.2,67.1
7673ER,SEL,D,47200,106.0,102.3,99.6,96.7,92.0,86.8,82.9,78.6,74.3,70.2
7673ER,SEL,D,54000,110.0,106.4,103.8,101.0,96.4,91.1,87.3,83.0,78.7,74.7
7673ER,LAmax,A,9000,94.7,87.8,83.2,78.4,70.7,62.2,56.0,49.2,42.3,35.8
7673ER,LAmax,A,10500,95.4,88.3,83.7,78.8,71.0,62.5,56.2,49.4,42.5,36.0
7673ER,LAmax,A,12000,96.4,89.2,84.4,79.3,71.4,62.7,56.5,49.6,42.7,36.2
7673ER,LAmax,A,13500,97.6,90.2,85.3,80.0,71.9,63.0,56.7,49.9,42.9,36.3
7673ER,LAmax,D,26800,100.9,93.5,88.3,82.8,74.5,65.9,60.0,53.5,46.9,40.8
7673ER,LAmax,D,33600,101.7,94.6,89.7,84.6,76.8,68.5,62.7,56.4,50.1,44.0
7673ER,LAmax,D,40400,103.2,96.4,91.7,86.8,79.3,71.1,65.4,59.2,52.9,47.0
7673ER,LAmax,D,47200,105.6,98.9,94.4,89.7,82.2,74.2,68.5,62.4,56.1,50.3
7673ER,LAmax,D,54000,110.1,103.6,99.2,94.5,86.9,78.8,73.2,67.0,60.8,55.0
7773ER,SEL,A,12000,99.2,94.5,91.4,88.2,83.0,77.1,72.7,67.8,62.9,58.2
7773ER,SEL,A,18000,99.8,95.1,92.0,88.6,83.3,77.3,72.8,67.9,62.9,58.3
7773ER,SEL,A,24000,100.6,96.0,92.8,89.4,83.9,77.8,73.3,68.3,63.2,58.4
7773ER,SEL,A,30000,101.7,97.0,93.8,90.3,84.8,78.5,73.9,68.8,63.7,58.8
7773ER,SEL,D,35684,102.6,97.6,94.2,90.5,84.7,77.9,72.9,67.3,61.5,56.2
7773ER,SEL,D,48263,103.1,98.7,95.5,92.0,86.4,79.9,75.2,70.1,64.8,59.9
7773ER,SEL,D,60841,104.9,100.4,97.4,94.1,88.6,82.4,77.9,73.0,68.0,63.4
7773ER,SEL,D,73419,106.6,102.4,99.4,96.3,90.9,84.8,80.5,75.7,70.9,66.4
7773ER,SEL,D,85997,109.0,104.9,102.0,98.9,93.7,87.8,83.5,78.9,74.2,69.8
7773ER,SEL,D,98522,111.4,107.6,104.8,101.8,96.8,90.9,86.5,81.6,76.8,71.9
7773ER,EPNL,A,12000,103.9,98.5,94.6,90.6,84.4,77.5,72.2,66.2,60.1,54.3
7773ER,EPNL,A,18000,104.7,99.4,95.7,91.6,85.4,78.3,72.7,66.6,60.4,54.5
7773ER,EPNL,A,24000,105.5,100.3,96.7,92.5,86.2,79.1,73.5,67.3,61.0,55.0
7773ER,EPNL,A,30000,106.7,101.6,97.9,93.6,87.2,80.0,74.4,68.2,61.9,55.9
7773ER,EPNL,D,35684,107.0,102.0,98.1,94.4,87.3,79.7,73.4,66.9,60.3,54.1
7773ER,EPNL,D,48263,108.6,103.7,100.0,96.2,89.4,82.0,76.1,70.2,64.1,58.5
7773ER,EPNL,D,60841,110.3,105.5,102.0,98.2,91.7,84.6,79.1,73.5,67.8,62.4
7773ER,EPNL,D,73419,111.9,107.3,104.0,100.2,93.9,87.1,81.9,76.5,70.9,65.7
7773ER,EPNL,D,85997,113.9,109.4,106.2,102.6,96.5,90.1,85.3,79.9,74.5,69.5
7773ER,EPNL,D,98522,115.1,111.0,107.8,104.4,98.7,92.7,88.4,82.6,76.7,70.9
7773ER,LAmax,A,12000,95.8,88.5,83.8,78.9,71.1,62.7,56.6,50.1,43.4,37.1
7773ER,LAmax,A,18000,96.3,89.0,84.3,79.3,71.5,63.0,56.9,50.3,43.6,37.3
7773ER,LAmax,A,24000,97.3,90.0,85.2,80.2,72.2,63.6,57.4,50.7,43.9,37.5
7773ER,LAmax,A,30000,98.6,91.3,86.4,81.3,73.2,64.4,58.1,51.2,44.3,37.7
7773ER,LAmax,D,35684,100.8,93.4,88.7,83.8,75.5,66.3,59.7,52.2,44.7,37.5
7773ER,LAmax,D,48263,102.0,94.9,90.1,85.0,76.7,67.7,61.3,54.3,47.2,40.5
7773ER,LAmax,D,60841,103.8,96.9,92.1,87.0,78.7,69.9,63.6,56.9,50.0,43.3
7773ER,LAmax,D,73419,105.9,99.1,94.3,89.2,81.1,72.3,66.1,59.5,52.8,46.4
7773ER,LAmax,D,85997,108.6,101.8,97.1,92.1,84.1,75.4,69.3,62.8,56.1,50.0
7773ER,LAmax,D,98522,112.5,105.8,101.2,96.3,88.4,79.6,73.4,66.3,59.3,52.1
7773ER,PNLTM,A,12000,110.2,101.8,96.2,90.9,82.4,73.0,66.1,58.6,50.9,43.7
7773ER,PNLTM,A,18000,110.8,102.5,97.1,91.5,82.9,73.4,66.5,58.9,51.2,43.9
7773ER,PNLTM,A,24000,111.7,103.7,98.3,92.5,83.6,74.0,66.9,59.3,51.6,44.3
7773ER,PNLTM,A,30000,112.9,105.0,99.7,93.7,84.5,74.5,67.4,59.8,52.0,44.7
7773ER,PNLTM,D,35684,114.1,106.6,101.4,95.8,86.3,76.2,68.8,60.3,51.7,43.6
7773ER,PNLTM,D,48263,116.2,108.9,103.6,97.9,88.4,78.4,71.2,63.3,55.3,47.7
7773ER,PNLTM,D,60841,118.5,111.3,106.1,100.3,90.9,81.0,74.2,66.7,59.0,51.9
7773ER,PNLTM,D,73419,120.7,113.5,108.3,102.6,93.4,83.7,77.1,69.8,62.5,55.6
7773ER,PNLTM,D,85997,123.1,116.0,110.9,105.3,96.4,87.0,80.6,73.6,66.6,60.0
7773ER,PNLTM,D,98522,126.0,118.9,114.0,108.5,99.7,90.5,84.0,76.8,69.7,62.4
7879,SEL,A,7000,95.6,91.2,88.1,84.8,79.5,73.4,68.8,63.7,58.6,53.7
7879,SEL,A,10000,96.1,91.5,88.5,85.0,79.6,73.4,68.8,63.8,58.7,53.9
7879,SEL,A,13000,96.7,92.1,88.9,85.5,79.9,73.7,69.2,64.2,59.1,54.3
7879,SEL,A,16000,97.5,92.8,89.5,86.0,80.5,74.3,69.7,64.7,59.6,54.8
7879,SEL,D,24000,96.9,92.4,89.4,85.4,79.6,73.3,68.7,63.4,58.0,52.9
7879,SEL,D,32200,98.7,94.5,91.8,87.9,82.4,76.1,71.5,66.2,60.8,55.8
7879,SEL,D,40400,100.6,96.4,94.1,90.1,84.7,78.6,74.0,68.8,63.5,58.5
7879,SEL,D,48600,102.4,98.2,96.1,92.1,86.8,80.8,76.3,71.2,66.0,61.2
7879,SEL,D,56800,104.1,100.0,98.0,93.9,88.7,82.8,78.4,73.5,68.5,63.8
7879,SEL,D,65000,106.2,102.0,100.1,95.8,90.7,85.0,80.8,76.0,71.2,66.7
7879,EPNL,A,7000,98.7,93.9,90.3,86.2,80.1,73.4,68.0,61.8,55.5,49.5
7879,EPNL,A,10000,99.2,94.3,90.6,86.6,80.4,73.7,68.4,62.1,55.8,49.8
7879,EPNL,A,13000,100.0,95.1,91.4,87.2,81.0,74.3,69.0,62.7,56.3,50.3
7879,EPNL,A,16000,101.1,96.1,92.4,88.1,81.8,75.1,69.7,63.4,57.0,50.9
7879,EPNL,D,24000,102.4,97.2,93.2,88.8,81.5,74.4,68.7,62.0,55.2,48.8
7879,EPNL,D,32200,103.6,98.8,95.1,91.1,84.3,77.4,72.0,65.6,59.2,53.1
7879,EPNL,D,40400,105.1,100.5,97.0,93.2,86.8,79.9,74.8,68.7,62.5,56.7
7879,EPNL,D,48600,106.7,102.3,98.9,95.2,89.0,82.3,77.2,71.4,65.4,59.8
7879,EPNL,D,56800,108.5,104.2,100.8,97.1,91.0,84.4,79.5,73.8,68.0,62.6
7879,EPNL,D,65000,110.7,106.4,103.1,99.4,93.2,86.8,81.9,76.4,70.8,65.7
7879,LAmax,A,7000,92.9,85.8,81.0,76.0,68.0,59.3,53.1,46.4,39.5,33.0
7879,LAmax,A,10000,93.0,85.9,81.1,76.1,68.2,59.4,53.2,46.5,39.7,33.3
7879,LAmax,A,13000,93.4,86.2,81.5,76.5,68.5,59.8,53.6,46.9,40.1,33.7
7879,LAmax,A,16000,93.9,86.7,82.0,77.0,69.0,60.3,54.1,47.4,40.7,34.3
7879,LAmax,D,24000,93.7,86.9,82.4,77.6,69.6,60.5,54.0,46.9,39.7,32.8
7879,LAmax,D,32200,97.3,90.6,86.0,81.0,72.7,63.5,56.9,49.7,42.4,35.5
7879,LAmax,D,40400,100.0,93.3,88.8,83.5,75.2,66.0,59.4,52.2,44.9,38.1
7879,LAmax,D,48600,102.1,95.3,91.0,85.5,77.2,68.1,61.5,54.4,47.2,40.4
7879,LAmax,D,56800,103.9,96.9,92.8,87.2,79.0,69.9,63.5,56.5,49.4,42.8
7879,LAmax,D,65000,105.5,98.3,94.6,88.7,80.6,71.8,65.6,58.5,51.9,45.4
7879,PNLTM,A,7000,106.2,98.7,93.5,87.7,78.9,69.3,62.3,54.6,46.9,39.5
7879,PNLTM,A,10000,106.7,99.1,93.9,88.1,79.2,69.7,62.7,55.0,47.2,39.9
7879,PNLTM,A,13000,107.3,99.7,94.5,88.6,79.7,70.2,63.1,55.5,47.7,40.3
